router,time
4,667024
0,667027
8,667028
4,667031
0,667034
0,667035
8,667035
4,667038
4,667039
8,667042
8,667043
8,667078
4,667082
0,667086
8,667100
8,667101
8,667102
8,667103
4,667104
4,667105
4,667106
8,667107
4,667107
0,667108
0,667109
0,667110
4,667111
0,667111
0,667115
0,668996
1,669000
0,669003
5,669004
1,669007
9,669008
0,669010
5,669011
1,669014
9,669015
0,669017
5,669018
1,669021
9,669022
0,669024
0,669025
5,669025
1,669028
9,669029
1,669029
5,669032
5,669033
9,669036
9,669037
9,669072
8,669076
4,669080
0,669084
9,669094
9,669095
9,669096
9,669097
8,669098
8,669099
8,669100
9,669101
8,669101
4,669102
4,669103
4,669104
8,669105
4,669105
0,669106
0,669107
0,669108
4,669109
0,669109
0,669113
0,670994
1,670998
0,671001
2,671002
1,671005
6,671006
0,671008
2,671009
10,671010
1,671012
6,671013
0,671015
2,671016
10,671017
1,671019
6,671020
0,671022
0,671023
2,671023
10,671024
1,671026
6,671027
1,671027
2,671030
2,671031
10,671031
6,671034
6,671035
10,671038
10,671039
10,671074
9,671078
8,671082
4,671086
0,671090
10,671096
10,671097
10,671098
10,671099
9,671100
9,671101
9,671102
10,671103
9,671103
8,671104
8,671105
8,671106
9,671107
8,671107
4,671108
4,671109
4,671110
8,671111
4,671111
0,671112
0,671113
0,671114
4,671115
0,671115
0,671119
0,673000
1,673004
0,673007
2,673008
1,673011
3,673012
0,673014
2,673015
7,673016
1,673018
3,673019
11,673020
0,673021
2,673022
7,673023
1,673025
3,673026
11,673027
0,673028
0,673029
2,673029
7,673030
1,673032
3,673033
1,673033
11,673034
2,673036
2,673037
7,673037
3,673040
11,673041
3,673041
7,673044
7,673045
11,673048
11,673049
11,673084
10,673088
9,673092
8,673096
4,673100
0,673104
11,673106
11,673107
11,673108
11,673109
10,673110
10,673111
10,673112
11,673113
10,673113
9,673114
9,673115
9,673116
10,673117
9,673117
8,673118
8,673119
8,673120
9,673121
8,673121
4,673122
4,673123
4,673124
8,673125
4,673125
0,673126
0,673127
0,673128
4,673129
0,673129
0,673133
0,675014
4,675018
0,675021
8,675022
4,675025
12,675026
0,675028
8,675029
4,675032
12,675033
0,675035
8,675036
4,675039
12,675040
0,675042
0,675043
8,675043
4,675046
12,675047
4,675047
8,675050
8,675051
12,675054
12,675055
12,675090
8,675094
4,675098
0,675102
12,675112
12,675113
12,675114
12,675115
8,675116
8,675117
8,675118
12,675119
8,675119
4,675120
4,675121
4,675122
8,675123
4,675123
0,675124
0,675125
0,675126
4,675127
0,675127
0,675131
0,677012
1,677016
0,677019
5,677020
1,677023
9,677024
0,677026
5,677027
13,677028
1,677030
9,677031
0,677033
5,677034
13,677035
1,677037
9,677038
0,677040
0,677041
5,677041
13,677042
1,677044
9,677045
1,677045
5,677048
5,677049
13,677049
9,677052
9,677053
13,677056
13,677057
13,677092
12,677096
8,677100
4,677104
0,677108
13,677114
13,677115
13,677116
13,677117
12,677118
12,677119
12,677120
13,677121
12,677121
8,677122
8,677123
8,677124
12,677125
8,677125
4,677126
4,677127
4,677128
8,677129
4,677129
0,677130
0,677131
0,677132
4,677133
0,677133
0,677137
0,678810
4,678814
0,678817
4,678821
0,678824
4,678828
0,678831
4,678835
0,678838
0,678839
4,678842
4,678843
4,678878
0,678882
4,678900
4,678901
4,678902
4,678903
0,678904
0,678905
0,678906
4,678907
0,678907
0,678911
0,678936
1,678940
0,678943
2,678944
1,678947
0,678950
2,678951
1,678954
0,678957
2,678958
1,678961
0,678964
0,678965
2,678965
1,678968
1,678969
2,678972
2,678973
2,679010
1,679014
0,679018
2,679032
2,679033
2,679034
2,679035
1,679036
1,679037
1,679038
2,679039
1,679039
0,679040
0,679041
0,679042
1,679043
0,679043
0,679047
0,679060
1,679064
0,679067
2,679068
1,679071
3,679072
0,679074
2,679075
7,679076
1,679078
3,679079
0,679081
2,679082
7,679083
1,679085
3,679086
0,679088
0,679089
2,679089
7,679090
1,679092
3,679093
1,679093
2,679096
2,679097
7,679097
3,679100
3,679101
7,679104
7,679105
7,679140
6,679144
5,679148
4,679152
0,679156
7,679162
7,679163
7,679164
7,679165
6,679166
6,679167
6,679168
7,679169
6,679169
5,679170
5,679171
5,679172
6,679173
5,679173
4,679174
4,679175
4,679176
5,679177
4,679177
0,679178
0,679179
0,679180
4,679181
0,679181
0,679185
0,679206
1,679210
0,679213
2,679214
1,679217
3,679218
0,679220
2,679221
1,679224
3,679225
0,679227
2,679228
1,679231
3,679232
0,679234
0,679235
2,679235
1,679238
3,679239
1,679239
2,679242
2,679243
3,679246
3,679247
3,679282
2,679286
1,679290
0,679294
3,679306
3,679307
3,679308
3,679309
2,679310
2,679311
2,679312
3,679313
2,679313
1,679314
1,679315
1,679316
2,679317
1,679317
0,679318
0,679319
0,679320
1,679321
0,679321
0,679325
0,679336
4,679340
0,679343
4,679347
0,679350
4,679354
0,679357
4,679361
0,679364
0,679365
4,679368
4,679369
4,679404
0,679408
4,679426
4,679427
4,679428
4,679429
0,679430
0,679431
0,679432
4,679433
0,679433
0,679437
0,679452
1,679456
0,679459
2,679460
1,679463
3,679464
0,679466
2,679467
1,679470
3,679471
0,679473
2,679474
1,679477
3,679478
0,679480
0,679481
2,679481
1,679484
3,679485
1,679485
2,679488
2,679489
3,679492
3,679493
3,679528
2,679532
1,679536
0,679540
3,679550
3,679551
3,679552
3,679553
2,679554
2,679555
2,679556
3,679557
2,679557
1,679558
1,679559
1,679560
2,679561
1,679561
0,679562
0,679563
0,679564
1,679565
0,679565
0,679569
0,679630
1,679634
0,679637
2,679638
1,679641
6,679642
0,679644
2,679645
10,679646
1,679648
6,679649
0,679651
2,679652
10,679653
1,679655
6,679656
0,679658
0,679659
2,679659
10,679660
1,679662
6,679663
1,679663
2,679666
2,679667
10,679667
6,679670
6,679671
10,679674
10,679675
10,679710
9,679714
8,679718
4,679722
0,679726
10,679732
10,679733
10,679734
10,679735
9,679736
9,679737
9,679738
10,679739
9,679739
8,679740
8,679741
8,679742
9,679743
8,679743
4,679744
4,679745
4,679746
8,679747
4,679747
0,679748
0,679749
0,679750
4,679751
0,679751
0,679755
0,679814
1,679818
0,679821
2,679822
1,679825
3,679826
0,679828
2,679829
7,679830
1,679832
3,679833
11,679834
0,679835
2,679836
7,679837
1,679839
3,679840
11,679841
0,679842
0,679843
2,679843
7,679844
1,679846
3,679847
1,679847
11,679848
2,679850
2,679851
7,679851
3,679854
11,679855
3,679855
7,679858
7,679859
11,679862
11,679863
11,679898
10,679902
9,679906
8,679910
4,679914
0,679918
11,679920
11,679921
11,679922
11,679923
10,679924
10,679925
10,679926
11,679927
10,679927
9,679928
9,679929
9,679930
10,679931
9,679931
8,679932
8,679933
8,679934
9,679935
8,679935
4,679936
4,679937
4,679938
8,679939
4,679939
0,679940
0,679941
0,679942
4,679943
0,679943
0,679947
0,679974
1,679978
0,679981
2,679982
1,679985
0,679988
2,679989
1,679992
0,679995
2,679996
1,679999
0,680002
0,680003
2,680003
1,680006
1,680007
2,680010
2,680011
2,680046
1,680050
0,680054
2,680068
2,680069
2,680070
2,680071
1,680072
1,680073
1,680074
2,680075
1,680075
0,680076
0,680077
0,680078
1,680079
0,680079
0,680083
0,680104
1,680108
0,680111
1,680115
0,680118
1,680122
0,680125
1,680129
0,680132
0,680133
1,680136
1,680137
1,680172
0,680176
1,680194
1,680195
1,680196
1,680197
0,680198
0,680199
0,680200
1,680201
0,680201
0,680205
0,680244
1,680248
0,680251
2,680252
1,680255
0,680258
2,680259
1,680262
0,680265
2,680266
1,680269
0,680272
0,680273
2,680273
1,680276
1,680277
2,680280
2,680281
2,680316
1,680320
0,680324
2,680338
2,680339
2,680340
2,680341
1,680342
1,680343
1,680344
2,680345
1,680345
0,680346
0,680347
0,680348
1,680349
0,680349
0,680353
0,680378
1,680382
0,680385
1,680389
0,680392
1,680396
0,680399
1,680403
0,680406
0,680407
1,680410
1,680411
1,680446
0,680450
1,680468
1,680469
1,680470
1,680471
0,680472
0,680473
0,680474
1,680475
0,680475
0,680479
0,680490
1,680494
0,680497
5,680498
1,680501
9,680502
0,680504
5,680505
13,680506
1,680508
9,680509
0,680511
5,680512
13,680513
1,680515
9,680516
0,680518
0,680519
5,680519
13,680520
1,680522
9,680523
1,680523
5,680526
5,680527
13,680527
9,680530
9,680531
13,680534
13,680535
13,680570
12,680574
8,680578
4,680582
0,680586
13,680592
13,680593
13,680594
13,680595
12,680596
12,680597
12,680598
13,680599
12,680599
8,680600
8,680601
8,680602
12,680603
8,680603
4,680604
4,680605
4,680606
8,680607
4,680607
0,680608
0,680609
0,680610
4,680611
0,680611
0,680615
0,680626
0,680633
0,680640
0,680647
0,680654
0,680655
0,680690
0,680712
0,680713
0,680714
0,680715
0,680719
0,680730
0,680737
0,680744
0,680751
0,680758
0,680759
0,680794
0,680816
0,680817
0,680818
0,680819
0,680823
0,680876
0,680883
0,680890
0,680897
0,680904
0,680905
0,680940
0,680966
0,680967
0,680968
0,680969
0,680973
0,680986
1,680990
0,680993
1,680997
0,681000
1,681004
0,681007
1,681011
0,681014
0,681015
1,681018
1,681019
1,681054
0,681058
1,681076
1,681077
1,681078
1,681079
0,681080
0,681081
0,681082
1,681083
0,681083
0,681087
0,681116
1,681120
0,681123
2,681124
1,681127
3,681128
0,681130
2,681131
1,681134
3,681135
0,681137
2,681138
1,681141
3,681142
0,681144
0,681145
2,681145
1,681148
3,681149
1,681149
2,681152
2,681153
3,681156
3,681157
3,681192
2,681196
1,681200
0,681204
3,681214
3,681215
3,681216
3,681217
2,681218
2,681219
2,681220
3,681221
2,681221
1,681222
1,681223
1,681224
2,681225
1,681225
0,681226
0,681227
0,681228
1,681229
0,681229
0,681233
0,681252
4,681256
0,681259
4,681263
0,681266
4,681270
0,681273
4,681277
0,681280
0,681281
4,681284
4,681285
4,681320
0,681324
4,681342
4,681343
4,681344
4,681345
0,681346
0,681347
0,681348
4,681349
0,681349
0,681353
0,681398
1,681402
0,681405
2,681406
1,681409
6,681410
0,681412
2,681413
10,681414
1,681416
6,681417
14,681418
0,681419
2,681420
10,681421
1,681423
6,681424
14,681425
0,681426
0,681427
2,681427
10,681428
1,681430
6,681431
1,681431
14,681432
2,681434
2,681435
10,681435
6,681438
14,681439
6,681439
10,681442
10,681443
14,681446
14,681447
14,681482
13,681486
12,681490
8,681494
4,681498
0,681502
14,681504
14,681505
14,681506
14,681507
13,681508
13,681509
13,681510
14,681511
13,681511
12,681512
12,681513
12,681514
13,681515
12,681515
8,681516
8,681517
8,681518
12,681519
8,681519
4,681520
4,681521
4,681522
8,681523
4,681523
0,681524
0,681525
0,681526
4,681527
0,681527
0,681531
0,681542
1,681546
0,681549
1,681553
0,681556
1,681560
0,681563
1,681567
0,681570
0,681571
1,681574
1,681575
1,681610
0,681614
1,681632
1,681633
1,681634
1,681635
0,681636
0,681637
0,681638
1,681639
0,681639
0,681643
0,681654
1,681658
0,681661
2,681662
1,681665
3,681666
0,681668
2,681669
1,681672
3,681673
0,681675
2,681676
1,681679
3,681680
0,681682
0,681683
2,681683
1,681686
3,681687
1,681687
2,681690
2,681691
3,681694
3,681695
3,681730
2,681734
1,681738
0,681742
3,681752
3,681753
3,681754
3,681755
2,681756
