time_intervals,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,target
32000,6,1,1,1,5,0,0,0,1,0,0,0,0,0,0,0,1
32100,7,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
32200,5,8,11,12,0,0,0,0,0,0,0,0,0,0,0,0,1
32300,11,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1
32400,7,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
32500,10,5,0,0,6,12,0,0,0,0,0,0,0,0,0,0,1
32600,7,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,1
32700,6,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,1
32800,6,1,0,0,5,1,0,0,5,6,0,0,0,0,0,0,1
32900,7,2,1,0,5,0,1,0,5,5,6,0,0,0,0,0,1
33000,6,6,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
33100,6,1,1,0,5,0,0,0,5,5,5,5,0,0,0,0,1
33200,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33300,10,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33400,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,1
33500,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
33600,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1
33700,10,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1
33800,8,3,0,0,6,9,0,0,0,0,0,0,0,0,0,0,1
33900,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,1
34000,8,1,0,0,6,6,6,0,0,0,0,0,0,0,0,0,1
34100,5,5,6,6,1,1,3,11,0,0,0,0,0,0,0,0,1
34200,11,0,0,0,11,5,3,1,6,0,0,0,0,0,0,0,1
34300,6,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,1
34400,6,6,0,0,0,6,0,0,1,7,0,0,0,0,0,0,1
34500,7,1,1,0,6,0,1,0,5,5,1,0,0,0,0,0,1
34600,6,0,0,0,5,0,0,0,5,5,5,0,0,0,0,0,1
34700,5,6,6,6,1,0,0,6,1,1,1,7,0,0,0,0,1
34800,10,0,0,0,8,0,0,0,8,5,5,5,2,0,0,0,1
34900,8,0,0,0,9,0,0,0,9,0,0,0,10,0,0,0,1
35000,6,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,1
35100,6,0,0,0,6,0,0,0,6,0,0,0,6,6,0,0,1
35200,6,1,1,0,5,0,1,0,5,0,1,0,5,5,6,0,1
35300,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
35400,6,0,0,0,5,0,0,0,5,0,0,0,5,5,5,5,1
35500,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35600,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35700,6,1,0,0,5,1,0,0,5,1,0,0,5,6,0,0,1
35800,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35900,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
36000,6,1,1,0,5,0,1,0,5,0,1,0,0,0,1,0,1
36100,6,1,0,0,5,0,0,0,5,0,0,0,5,5,5,0,1
36200,6,5,6,6,1,0,0,6,1,1,1,7,0,0,0,0,1
36300,11,6,0,0,5,6,0,0,5,5,5,5,0,0,0,0,1
36400,7,1,1,1,6,6,0,1,0,0,0,1,0,0,0,1,1
36500,5,0,0,0,5,0,0,0,5,0,0,0,5,5,5,5,1
36600,7,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,1
36700,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
36800,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1
36900,6,6,6,6,1,1,1,7,0,0,0,0,0,0,0,0,1
